J0536-7039,05 36 07,-70 38 37,1.43,1.43E+21,110,30,1.573E+23,200,0.0556,7.27E+16,2.36,0.27,0.14,0.08,1.59E-03,4.76E+05,475.85,6.11E+10,1.94E+03,1.938
J0536-6913,05 36 17,-69 13 28,0.22,2.2E+20,0,0,0,66,0.0183,2.40E+16,0.78,0.75,0.27,0.07,2.64E-03,7.93E+05,793.09,1.21E+10,3.84E+02,0.384
J0537-6628,05 37 27,-66 27 50,0.32,3.2E+20,0,0,0,227,0.0631,8.25E+16,2.67,0.42,0.11,0.09,1.98E-03,5.93E+05,593.49,5.56E+10,1.76E+03,1.764
J0537-6910,05 37 46,-69 10 28,15,1.5E+22,0,0,0,120,0.0333,4.36E+16,1.41,4.92,0.35,0.35,6.77E-03,2.03E+06,2031.30,8.59E+09,2.72E+02,0.272
J0540-6944,05 39 59,-69 44 02,0.43,4.3E+20,0,0,0,92,0.0256,3.35E+16,1.08,0.2,0.02,0.02,1.37E-03,4.10E+05,409.55,3.27E+10,1.04E+03,1.036
J0540-6920,05 40 11,-69 19 55,87.35,8.735E+22,0,0,0,72,0.0200,2.62E+16,0.85,0.49,0.06,0.06,2.14E-03,6.41E+05,641.05,1.63E+10,5.18E+02,0.518
J0541-6659,05 41 51,-66 59 04,0.77,7.7E+20,0,0,0,300,0.0833,1.09E+17,3.54,0.4,0.15,0.07,1.93E-03,5.79E+05,579.19,7.53E+10,2.39E+03,2.389
J0543-6858,05 43 08,-68 58 18,1.68,1.68E+21,0,0,0,330,0.0917,1.20E+17,3.89,1.12,0.25,0.51,3.23E-03,9.69E+05,969.17,4.95E+10,1.57E+03,1.570
J0547-6943,05 46 59,-69 42 50,1.47,1.47E+21,20.7,5.73,3.0429E+22,190,0.0528,6.91E+16,2.24,0.27,0.26,0.05,1.59E-03,4.76E+05,475.85,5.81E+10,1.84E+03,1.841
J0547-6941,05 47 22,-69 41 26,1.26,1.26E+21,24,6.55,3.024E+22,190,0.0528,6.91E+16,2.24,1.25,0.18,0.18,3.41E-03,1.02E+06,1023.87,2.70E+10,8.56E+02,0.856
J0547-7025,05 47 49,-70 24 54,2.94,2.94E+21,0,0,0,118,0.0328,4.29E+16,1.39,0.31,0.01,0.05,1.70E-03,5.10E+05,509.88,3.37E+10,1.07E+03,1.067
J0550-6823,05 50 30,-68 22 40,1.22,1.22E+21,0,0,0,312,0.0867,1.13E+17,3.68,0,0,0,0.00E+00,0.00E+00,0.00,0.00E+00,0.00E+00,0
J0512-6717,05 12 24,-67 17 24,0,0,0,0,0,282,0.0783,1.03E+17,3.32,0.21,0.02,0.02,1.40E-03,4.20E+05,419.66,9.77E+10,3.10E+03,3.099
J0504-6723,05 04 49,-67 23 51,0,0,0,0,0,276,0.0767,1.00E+17,3.25,0.15,0,0,1.18E-03,3.55E+05,354.68,1.13E+11,3.59E+03,3.589
J0527-7134,05 27 50,-71 34 10,0,0,0,0,0,168,0.0467,6.11E+16,1.98,0.21,0.02,0.02,1.40E-03,4.20E+05,419.66,5.82E+10,1.85E+03,1.846
J0447-6919,04 47 10,-69 19 07,0,0,0,0,0,182,0.0506,6.62E+16,2.14,0.19,0.02,0.05,1.33E-03,3.99E+05,399.18,6.63E+10,2.10E+03,2.103
